elapsed_s,waypoint,total,remaining_m,recoveries,battery_v
0.018614,1,20,0.0,0,12.15
5.020262,1,20,1.52,0,12.07
10.028001,1,20,0.92,0,12.06
15.028474,1,20,0.35,0,12.1
20.037539,2,20,4.06,0,12.06
25.048222,2,20,3.39,0,12.02
30.059593,2,20,2.69,0,12.04
35.059423,2,20,1.89,0,12.02
40.067572,2,20,1.14,0,12.04
45.07745,2,20,0.44,0,12.06
50.079231,3,20,4.18,0,12.09
55.078999,3,20,3.35,0,12.05
60.079925,3,20,2.53,0,12.05
65.092386,3,20,1.7,0,12.04
70.099779,3,20,0.95,0,12.04
75.110045,3,20,0.25,0,12.07
80.112379,4,20,3.78,0,12.06
85.111545,4,20,2.98,0,12.04
90.111326,4,20,2.1,0,12.05
95.121219,4,20,1.35,0,12.04
100.130955,4,20,0.55,0,12.05
105.13403,5,20,4.1,0,12.08
110.135118,5,20,3.28,0,12.03
115.143391,5,20,2.38,0,12.04
120.144443,5,20,1.55,0,12.03
125.153669,5,20,0.68,0,12.04
130.157463,6,20,4.19,0,12.08
135.158099,6,20,3.38,0,12.03
140.16472,6,20,2.6,0,12.03
145.17558,6,20,1.78,0,12.03
150.177297,6,20,0.98,0,12.02
155.178208,6,20,0.23,0,12.05
160.184845,7,20,3.65,0,12.02
165.19413,7,20,2.9,0,12.02
170.20345,7,20,2.05,0,12.01
175.216665,7,20,1.3,0,12.03
180.21691,7,20,0.58,0,12.01
185.219579,8,20,4.15,0,12.06
190.22591,8,20,3.4,0,12.03
195.23734,8,20,2.63,0,12.03
200.237289,8,20,1.85,0,12.0
205.238851,8,20,1.03,0,12.02
210.246383,8,20,0.4,0,12.02
215.258456,9,20,4.08,0,12.0
220.265085,9,20,3.33,0,12.01
225.26529,9,20,2.58,0,11.97
230.277073,9,20,1.85,0,11.99
235.279532,9,20,1.08,0,12.0
240.28765,9,20,0.33,0,12.02
245.293731,10,20,3.41,0,12.0
250.303368,10,20,2.58,0,12.01
255.303304,10,20,1.73,0,12.01
260.304012,10,20,0.83,0,11.98
265.315343,10,20,0.23,0,12.02
270.316379,11,20,3.69,0,12.04
275.316821,11,20,3.64,0,11.99
280.316973,11,20,2.99,0,11.99
285.32561,11,20,2.17,0,11.99
290.335546,11,20,1.42,0,11.98
295.34019,11,20,0.64,0,12.0
300.345623,11,20,0.19,0,12.03
305.355442,12,20,3.64,0,11.98
310.355577,12,20,2.84,0,11.99
315.356367,12,20,2.07,0,11.98
320.35673,12,20,1.29,0,11.98
325.363826,12,20,0.49,0,11.98
330.364738,12,20,0.0,0,12.02
335.37586,12,20,0.0,0,12.03
340.38312,13,20,4.05,0,11.99
345.382992,13,20,3.81,0,11.98
350.391444,13,20,3.04,0,11.96
355.403041,13,20,2.21,0,11.94
360.412456,13,20,1.39,0,11.94
365.423092,13,20,0.56,0,11.94
370.42427,14,20,4.22,0,11.98
375.433208,14,20,3.46,0,11.97
380.443334,14,20,2.61,0,11.96
385.453938,14,20,1.84,0,11.98
390.454862,14,20,1.06,0,11.96
395.462278,14,20,0.31,0,11.99
400.469292,15,20,4.02,0,11.96
405.481783,15,20,3.24,0,11.95
410.490125,15,20,2.54,0,11.95
415.502494,15,20,1.79,0,11.95
420.509403,15,20,1.04,0,11.96
425.50985,15,20,0.34,0,11.98
430.521783,16,20,4.19,0,11.93
435.528561,16,20,3.52,0,11.93
440.541586,16,20,2.84,0,11.94
445.542433,16,20,2.04,0,11.93
450.543545,16,20,1.22,0,11.96
455.549614,16,20,0.44,0,11.98
460.552764,17,20,4.37,0,11.94
465.553659,17,20,3.59,0,11.91
470.562459,17,20,2.72,0,11.93
475.573275,17,20,1.87,0,11.94
480.583757,17,20,1.04,0,11.92
485.584123,17,20,0.29,0,11.96
490.587463,18,20,3.77,0,11.94
495.595717,18,20,2.94,0,11.94
500.605347,18,20,2.19,0,11.94
505.605576,18,20,1.37,0,11.94
510.605409,18,20,0.59,0,11.94
515.616303,19,20,4.17,0,11.96
520.625701,19,20,3.44,0,11.92
525.627052,19,20,2.62,0,11.92
530.636897,19,20,1.82,0,11.92
535.636765,19,20,1.02,0,11.91
540.645404,19,20,0.34,0,11.92
545.650207,20,20,1.95,0,11.92
550.648649,20,20,1.18,0,11.91
555.649712,20,20,0.38,0,11.94
