t_rel_s,stamp_s,x,y,yaw_deg,cov_xx,cov_xy,cov_yy,cov_yawyaw,trace_xy,sigma_x_m,sigma_y_m,sigma_yaw_deg
0.88,1788242475.546618,0.0001,-0.008,-1.585,0.0389514,-0.00158835,0.0446267,0.0669113,0.0835781,0.19736,0.21125,14.8208
169.628,1788242898.056653,0.0676,-0.0236,-14.13,0.0482606,-0.00552034,0.0468311,0.0726355,0.0950916,0.21968,0.21640,15.4418
171.868,1788242900.32655,0.3117,-0.1073,-20.495,0.0575663,-0.00705228,0.051499,0.0995372,0.109065,0.23993,0.22693,18.0765
173.626,1788242902.082112,0.5587,-0.1782,-11.342,0.0774177,-0.0122,0.0703822,0.13568,0.1478,0.27824,0.26530,21.1048
175.277,1788242903.735631,0.7926,-0.2576,-12.225,0.0866494,-0.0157234,0.0907439,0.149941,0.177393,0.29436,0.30124,22.1862
176.93,1788242905.388223,1.0326,-0.3168,-13.771,0.103063,-0.0138265,0.113823,0.171482,0.216886,0.32103,0.33738,23.7264
178.585,1788242907.040998,1.2519,-0.3505,-11.534,0.125902,-0.0126655,0.125093,0.168728,0.250995,0.35483,0.35368,23.5351
180.24,1788242908.694548,1.5038,-0.3689,-8.167,0.152053,-0.00699424,0.146631,0.165552,0.298684,0.38994,0.38292,23.3126
181.891,1788242910.347939,1.7655,-0.3894,-6.907,0.151512,0.00460409,0.149945,0.146881,0.301457,0.38925,0.38723,21.9587
185.083,1788242912.620536,2.077,-0.4143,-4.087,0.167386,0.0140165,0.163935,0.14172,0.331321,0.40913,0.40489,21.5694
187.158,1788242915.615128,2.3207,-0.4242,-2.877,0.181102,0.0136506,0.144243,0.124735,0.325345,0.42556,0.37979,20.2356
188.71,1788242917.167818,2.5551,-0.4258,-1.162,0.194495,0.00599689,0.131106,0.115418,0.3256,0.44102,0.36209,19.4653
190.26,1788242918.71648,2.788,-0.463,-3.172,0.230519,-0.00287903,0.121575,0.121513,0.352095,0.48012,0.34868,19.9726
191.811,1788242920.266562,3.003,-0.5192,-4.945,0.235025,0.000388904,0.105659,0.113859,0.340684,0.48479,0.32505,19.3334
193.462,1788242921.919636,3.225,-0.5731,-0.11,0.256785,-0.00975949,0.116648,0.111184,0.373433,0.50674,0.34154,19.1048
195.017,1788242923.469686,3.4359,-0.6061,1.947,0.259851,-0.0249606,0.0866922,0.0954267,0.346543,0.50976,0.29444,17.6994
197.184,1788242925.641018,3.5851,-0.6253,-9.383,0.277474,-0.0263507,0.0820997,0.0893811,0.359574,0.52676,0.28653,17.1295
