t_rel_s,stamp_s,recv_s,latency_ms,gap_since_prev_ms,tx,ty
0.947,1788242730.15084,1788242729.504214,-646.626,,7e-05,-0.00798
0.948,1788242730.254085,1788242729.504299,-749.786,0.085,7e-05,-0.00798
0.948,1788242730.356861,1788242729.504299,-852.562,0.0,7e-05,-0.00798
0.999,1788242730.459913,1788242729.556262,-903.651,51.963,7e-05,-0.00798
1.105,1788242730.562975,1788242729.661619,-901.356,105.357,7e-05,-0.00798
1.208,1788242730.666302,1788242729.76435,-901.952,102.731,7e-05,-0.00798
1.311,1788242730.769449,1788242729.867817,-901.632,103.467,7e-05,-0.00798
1.417,1788242730.872934,1788242729.973533,-899.401,105.716,7e-05,-0.00798
1.517,1788242730.976078,1788242730.074053,-902.025,100.519,7e-05,-0.00798
1.621,1788242731.079081,1788242730.177484,-901.597,103.431,7e-05,-0.00798
1.725,1788242731.182276,1788242730.282088,-900.188,104.604,7e-05,-0.00798
1.829,1788242731.285928,1788242730.385508,-900.421,103.42,7e-05,-0.00798
1.929,1788242731.388914,1788242730.485389,-903.525,99.881,7e-05,-0.00798
2.034,1788242731.491856,1788242730.590935,-900.921,105.545,7e-05,-0.00798
2.136,1788242731.594928,1788242730.69261,-902.318,101.675,7e-05,-0.00798
2.24,1788242731.698606,1788242730.797233,-901.374,104.623,7e-05,-0.00798
2.345,1788242731.801455,1788242730.901788,-899.668,104.555,7e-05,-0.00798
2.447,1788242731.905339,1788242731.003815,-901.524,102.027,7e-05,-0.00798
2.55,1788242732.007601,1788242731.107039,-900.562,103.224,7e-05,-0.00798
2.652,1788242732.110573,1788242731.209142,-901.43,102.103,7e-05,-0.00798
2.759,1788242732.214083,1788242731.31603,-898.054,106.888,7e-05,-0.00798
2.859,1788242732.317501,1788242731.416167,-901.334,100.137,7e-05,-0.00798
2.967,1788242732.420964,1788242731.524106,-896.858,107.939,7e-05,-0.00798
3.067,1788242732.523757,1788242731.623427,-900.33,99.321,7e-05,-0.00798
3.172,1788242732.626856,1788242731.728427,-898.428,105.0,7e-05,-0.00798
3.27,1788242732.729884,1788242731.827023,-902.86,98.596,7e-05,-0.00798
3.375,1788242732.833277,1788242731.931338,-901.939,104.315,7e-05,-0.00798
3.479,1788242732.936262,1788242732.035844,-900.418,104.506,7e-05,-0.00798
3.585,1788242733.039496,1788242732.141425,-898.071,105.581,7e-05,-0.00798
3.688,1788242733.14243,1788242732.244489,-897.94,103.064,7e-05,-0.00798
3.791,1788242733.245754,1788242732.347507,-898.247,103.018,7e-05,-0.00798
3.89,1788242733.348808,1788242732.446452,-902.356,98.945,7e-05,-0.00798
3.993,1788242733.451824,1788242732.550117,-901.707,103.664,7e-05,-0.00798
4.097,1788242733.555289,1788242732.654121,-901.167,104.005,7e-05,-0.00798
